,school,sex,age,Medu,Fedu,guardian,traveltime,studytime,failures,schoolsup,famsup,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,address_type_Urban,famsize_BIG_FAMILY,Pstatus_Together,Mjob_at_home,Mjob_health,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_reputation,tutor
0,GP,F,18,4,4,mother,2,2,0,1,0,0,1,1,0,0,4,3,4,1,1,3,6,5,6,6,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0
1,GP,F,17,1,1,father,1,2,0,0,1,0,0,1,1,0,5,3,3,1,1,3,4,5,5,6,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
2,GP,F,15,1,1,mother,1,2,3,1,0,0,1,1,1,0,4,3,2,2,3,3,10,7,8,10,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
3,GP,F,15,4,2,mother,1,3,0,0,1,1,1,1,1,1,3,2,2,1,1,5,2,15,14,15,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1
4,GP,F,16,3,3,father,1,2,0,0,1,0,1,1,0,0,4,3,2,1,2,5,4,6,10,10,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
5,GP,M,16,4,3,mother,1,2,0,0,1,1,1,1,1,0,5,4,2,1,2,5,10,15,15,15,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
6,GP,M,16,2,2,mother,1,2,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12,12,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,GP,F,17,4,4,mother,2,2,0,1,1,0,1,1,0,0,4,1,4,1,1,1,6,6,5,6,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
8,GP,M,15,3,2,mother,1,2,0,0,1,0,1,1,1,0,4,2,2,1,1,1,0,16,18,19,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
9,GP,M,15,3,4,mother,1,2,0,0,1,1,1,1,1,0,5,5,1,1,1,5,0,14,15,15,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
10,GP,F,15,4,4,mother,1,2,0,0,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,9,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1
11,GP,F,15,2,1,father,3,3,0,0,1,1,1,1,1,0,5,2,2,1,1,4,4,10,12,12,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
12,GP,M,15,4,4,father,1,1,0,0,1,1,1,1,1,0,4,3,3,1,3,5,2,14,14,14,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1
13,GP,M,15,4,3,mother,2,2,0,0,1,0,1,1,1,0,5,4,3,1,2,3,2,10,10,11,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
14,GP,M,15,2,2,other,1,3,0,0,1,0,1,1,1,1,4,5,2,1,1,3,0,14,16,16,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
15,GP,F,16,4,4,mother,1,1,0,0,1,0,1,1,1,0,4,4,4,1,2,2,4,14,14,14,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
16,GP,F,16,4,4,mother,1,3,0,0,1,1,1,1,1,0,3,2,3,1,2,2,6,13,14,14,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1
17,GP,F,16,3,3,mother,3,2,0,1,1,1,1,1,0,0,5,3,2,1,1,4,4,8,10,10,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
18,GP,M,17,3,2,mother,1,1,3,0,1,1,1,1,1,0,5,5,5,2,4,5,16,6,5,5,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0
19,GP,M,16,4,3,father,1,1,0,0,0,1,1,1,1,0,3,1,3,1,3,5,4,8,10,10,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1
20,GP,M,15,4,3,mother,1,2,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13,14,15,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
21,GP,M,15,4,4,father,1,1,0,0,1,0,1,1,1,0,5,4,2,1,1,5,0,12,15,15,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1
22,GP,M,16,4,2,mother,1,2,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,15,15,16,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
23,GP,M,16,2,2,mother,2,2,0,0,1,1,1,1,1,0,5,4,4,2,4,5,0,13,13,12,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
24,GP,F,15,2,4,mother,1,3,0,1,1,1,1,1,1,0,4,3,2,1,1,5,2,10,9,8,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1
25,GP,F,16,2,2,mother,1,1,2,0,1,0,0,1,1,0,1,2,2,1,3,5,14,6,9,8,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1
26,GP,M,15,2,2,mother,1,1,0,0,1,0,1,1,1,0,4,2,2,1,2,5,2,12,12,11,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
27,GP,M,15,4,2,mother,1,1,0,0,0,0,1,1,1,0,2,2,4,2,4,1,4,15,16,15,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1
28,GP,M,16,3,4,mother,1,2,0,1,1,1,1,1,1,0,5,3,3,1,1,5,4,11,11,11,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
29,GP,M,16,4,4,mother,1,2,0,0,1,1,1,1,1,1,4,4,5,5,5,5,16,10,12,11,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1
30,GP,M,15,4,4,mother,1,2,0,0,1,0,0,1,1,0,5,4,2,3,4,5,0,9,11,12,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1
31,GP,M,15,4,4,mother,2,2,0,0,1,1,1,1,1,0,4,3,1,1,1,5,0,17,16,17,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0
32,GP,M,15,4,3,mother,1,2,0,0,1,1,1,1,1,1,4,5,2,1,1,5,0,17,16,16,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0
33,GP,M,15,3,3,mother,1,2,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,8,10,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,GP,M,16,3,2,mother,1,1,0,0,1,0,0,1,1,0,5,4,3,1,1,5,0,12,14,15,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
35,GP,F,15,2,3,father,2,1,0,0,1,1,1,1,0,0,3,5,1,1,1,5,0,8,7,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
36,GP,M,15,4,3,mother,1,3,0,0,1,1,1,1,1,0,5,4,3,1,1,4,2,15,16,18,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
37,GP,M,16,4,4,mother,2,3,0,0,1,1,1,1,1,1,2,4,3,1,1,5,7,15,16,15,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
38,GP,F,15,3,4,mother,1,3,0,1,1,1,1,1,1,0,4,3,2,1,1,5,2,12,12,11,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1
39,GP,F,15,2,2,mother,1,1,0,1,1,1,1,1,0,0,4,3,1,1,1,2,8,14,13,13,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
40,GP,F,16,2,2,mother,2,2,1,0,1,1,0,1,1,1,3,3,3,1,2,3,25,7,10,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41,GP,M,15,4,4,other,1,1,0,0,1,0,0,1,1,1,5,4,3,2,4,5,8,12,12,12,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
42,GP,M,15,4,4,father,1,2,0,0,1,1,1,1,1,0,4,3,3,1,1,5,2,19,18,18,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0
43,GP,M,15,2,2,father,1,1,0,1,1,0,1,1,1,0,5,4,1,1,1,1,0,8,8,11,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0
44,GP,F,16,2,2,father,2,2,1,1,0,1,1,1,1,0,4,3,3,2,2,5,14,10,10,9,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
45,GP,F,15,4,3,mother,1,2,0,1,1,1,1,1,1,1,5,2,2,1,1,5,8,8,8,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
46,GP,F,16,3,3,mother,1,2,0,0,1,0,1,1,1,0,2,3,5,1,4,3,12,11,12,11,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
47,GP,M,16,4,3,mother,1,4,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,19,19,20,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
48,GP,M,15,4,2,mother,1,2,0,0,1,0,1,1,0,0,4,3,3,2,2,5,2,15,15,14,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1
49,GP,F,15,4,4,father,1,2,1,1,1,1,0,1,1,0,4,4,4,1,1,3,2,7,7,7,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
50,GP,F,16,2,2,mother,3,2,0,0,1,0,1,1,1,0,4,3,3,2,3,4,2,12,13,13,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1
51,GP,F,15,4,2,mother,1,2,0,0,1,0,1,1,1,0,4,3,3,1,1,5,2,11,13,13,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
52,GP,M,15,4,2,father,2,1,1,0,0,0,1,1,0,0,5,5,5,3,4,5,6,11,11,10,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
53,GP,F,15,4,4,mother,1,1,0,1,1,0,1,1,1,0,3,3,4,2,3,5,0,8,10,11,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1
54,GP,F,15,3,3,mother,1,1,0,0,0,0,1,1,1,0,5,3,4,4,4,1,6,10,13,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,GP,F,16,2,1,mother,1,2,0,0,0,1,1,1,1,1,5,3,4,1,1,2,8,8,9,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
56,GP,F,15,4,3,mother,1,2,0,0,1,1,1,1,1,0,4,3,2,1,1,1,0,14,15,15,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1
57,GP,M,15,4,4,mother,1,2,0,0,1,1,1,1,0,0,3,2,2,1,1,5,4,14,15,15,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
58,GP,M,15,1,2,father,1,2,0,1,1,1,1,1,1,0,4,3,2,1,1,5,2,9,10,9,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
59,GP,F,16,4,2,mother,1,2,0,0,1,0,1,1,1,0,4,2,3,1,1,5,2,15,16,16,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
60,GP,F,16,4,4,mother,1,2,0,0,1,1,1,1,0,0,2,4,4,2,3,4,6,10,11,11,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
61,GP,F,16,1,1,father,4,1,0,1,1,1,0,1,1,1,5,5,5,5,5,5,6,10,8,11,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0
62,GP,F,16,1,2,father,1,2,0,1,0,1,1,1,1,0,4,4,3,1,1,1,4,8,10,9,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
63,GP,F,16,4,3,mother,1,3,0,1,1,1,1,1,1,0,3,4,4,2,4,4,2,10,9,9,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1
64,GP,F,15,4,3,father,1,2,0,1,0,1,1,1,1,1,4,4,4,2,4,2,0,10,10,10,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
65,GP,F,16,4,3,mother,3,2,0,0,1,1,1,1,1,0,5,4,3,1,2,1,2,16,15,15,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
66,GP,M,15,4,4,mother,1,4,0,0,1,1,0,1,1,1,1,3,3,5,5,3,4,13,13,12,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
67,GP,F,16,3,1,mother,1,4,0,1,1,0,1,1,1,0,4,3,3,1,2,5,4,7,7,6,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1
68,GP,F,15,2,2,mother,2,2,0,1,1,0,1,1,1,0,4,1,3,1,3,4,2,8,9,8,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
69,GP,F,15,3,1,father,2,4,0,0,1,0,0,1,1,0,4,4,2,2,3,3,12,16,16,16,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
70,GP,M,16,3,1,father,2,4,0,0,1,0,1,1,1,0,4,3,2,1,1,5,0,13,15,15,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
71,GP,M,15,4,2,mother,1,4,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10,10,10,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
72,GP,F,15,1,1,mother,1,2,2,1,1,0,0,1,1,1,3,3,4,2,4,5,2,8,6,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
73,GP,M,16,3,1,mother,1,1,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,12,12,14,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
74,GP,F,16,3,3,mother,1,2,0,1,1,1,1,1,1,0,4,3,3,2,4,5,54,11,12,11,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
75,GP,M,15,4,3,mother,1,2,0,0,1,1,1,1,1,0,4,3,3,2,3,5,6,9,9,10,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1
76,GP,M,15,4,0,mother,2,4,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,11,11,10,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
77,GP,F,16,2,2,mother,1,4,0,0,0,0,1,1,1,1,5,2,3,1,3,3,0,11,11,11,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
78,GP,M,17,2,1,mother,2,1,3,1,1,1,1,0,1,0,4,5,1,1,1,3,2,8,8,10,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
79,GP,F,16,3,4,mother,1,2,0,0,1,0,1,1,1,0,2,4,3,1,2,3,12,5,5,5,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
80,GP,M,15,2,3,father,1,1,0,1,1,1,0,1,1,1,3,2,2,1,3,3,2,10,12,12,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1
81,GP,M,15,2,3,mother,1,3,0,1,0,0,0,1,1,0,5,3,2,1,2,5,4,11,10,11,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
82,GP,F,15,3,2,mother,1,2,0,0,1,0,1,1,1,0,4,4,4,1,1,5,10,7,6,6,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
83,GP,M,15,2,2,mother,2,2,0,0,0,1,1,1,1,0,5,3,3,1,3,4,4,15,15,15,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1
84,GP,F,15,1,1,father,1,2,0,0,1,1,0,1,1,0,4,3,2,2,3,4,2,9,10,10,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
85,GP,F,15,4,4,father,2,2,2,0,0,0,1,1,1,1,4,4,4,2,3,5,6,7,9,8,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1
86,GP,F,16,2,2,mother,1,2,0,0,1,0,1,1,0,0,4,3,4,1,2,2,4,8,7,6,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
87,GP,F,15,4,2,mother,1,3,0,0,1,1,1,1,1,0,5,3,3,1,3,1,4,13,14,14,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
88,GP,M,16,2,2,father,2,2,1,0,0,1,0,1,1,0,4,4,2,1,1,3,12,11,10,10,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1
89,GP,M,16,4,4,mother,1,2,0,0,1,0,1,1,0,0,4,1,3,3,5,5,18,8,6,7,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
90,GP,F,16,3,3,mother,1,3,0,0,1,0,1,1,1,1,4,3,3,1,3,4,0,7,7,8,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
91,GP,F,15,4,3,mother,1,1,0,0,0,1,1,1,1,0,4,5,5,1,3,1,4,16,17,18,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1
92,GP,F,16,3,1,father,1,2,0,1,1,0,1,1,0,0,3,3,3,2,3,2,4,7,6,6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
93,GP,F,16,4,2,mother,2,2,0,0,1,1,1,1,1,0,5,3,3,1,1,1,0,11,10,10,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1
94,GP,M,15,2,2,mother,1,4,0,0,1,1,1,1,1,0,4,3,4,1,1,4,6,11,13,14,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
95,GP,F,15,1,1,mother,2,4,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,7,10,10,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1
96,GP,M,16,4,3,mother,2,1,0,1,1,1,0,1,1,0,3,3,3,1,1,4,2,11,15,15,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
97,GP,F,16,2,1,mother,1,2,0,0,1,0,1,1,0,1,4,3,5,1,1,5,2,8,9,10,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
98,GP,F,16,4,4,mother,1,1,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,11,14,14,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
99,GP,F,16,4,3,mother,1,3,0,1,1,0,1,1,1,0,5,3,5,1,1,3,0,7,9,8,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1
100,GP,M,16,4,4,mother,1,1,0,1,1,1,1,1,1,0,4,5,5,5,5,4,14,7,7,5,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1
101,GP,M,16,4,4,father,1,3,0,0,1,1,1,1,1,1,4,4,3,1,1,4,0,16,17,17,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
102,GP,M,15,4,4,mother,1,1,0,0,1,1,0,1,1,0,5,3,3,1,1,5,4,10,13,14,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
103,GP,F,15,3,2,mother,2,2,0,1,1,0,1,1,1,0,4,3,5,1,1,2,26,7,6,6,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1
104,GP,M,15,3,4,mother,1,2,0,0,1,1,1,1,1,0,5,4,4,1,1,1,0,16,18,18,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1
105,GP,F,15,3,3,father,1,4,0,1,0,0,1,1,0,0,4,3,3,1,1,4,10,10,11,11,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
106,GP,F,15,2,2,mother,1,4,0,1,1,0,1,1,1,0,5,1,2,1,1,3,8,7,8,8,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
107,GP,M,16,3,3,father,1,3,0,0,1,1,1,1,1,0,5,3,3,1,1,5,2,16,18,18,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0
108,GP,M,15,4,4,father,4,4,0,0,1,1,1,1,1,1,1,3,5,3,5,1,6,10,13,13,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
109,GP,F,16,4,4,mother,1,3,0,0,1,1,1,1,1,1,5,4,5,1,1,4,4,14,15,16,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1
110,GP,M,15,4,4,mother,1,1,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6,18,19,19,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
111,GP,F,16,3,3,father,1,3,1,1,1,1,1,1,1,0,4,1,2,1,1,2,0,7,10,10,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
112,GP,F,16,2,2,mother,1,2,1,1,0,1,1,1,1,0,3,1,2,1,1,5,6,10,13,13,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
113,GP,M,15,4,2,mother,1,1,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,18,19,19,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
114,GP,M,15,2,1,mother,1,2,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8,9,9,9,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0
115,GP,M,16,4,4,father,1,2,0,0,1,1,1,1,1,0,5,4,4,1,2,5,2,15,15,16,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0
116,GP,M,15,4,4,father,2,2,0,0,1,1,1,1,0,0,4,4,3,1,1,2,2,11,13,14,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
117,GP,M,16,3,3,father,2,1,0,0,0,1,1,1,1,0,5,4,2,1,1,5,0,13,14,13,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
118,GP,M,17,1,3,father,3,2,1,0,1,1,1,1,1,0,5,2,4,1,4,5,20,9,7,8,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
119,GP,M,15,3,4,father,1,1,0,0,0,0,1,1,1,0,3,4,3,1,2,4,6,14,13,13,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
120,GP,F,15,1,2,mother,1,2,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,16,15,15,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
121,GP,M,15,2,2,father,1,4,0,0,1,1,1,1,1,0,5,5,4,1,2,5,6,16,14,15,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1
122,GP,F,16,2,4,father,2,2,0,0,1,1,1,1,1,1,4,2,2,1,2,5,2,13,13,13,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
123,GP,M,16,4,4,mother,1,1,0,0,1,1,1,1,1,0,3,4,4,1,4,5,18,14,11,13,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0
124,GP,F,16,2,2,mother,1,2,0,0,0,0,1,1,1,1,5,4,4,1,1,5,0,8,7,8,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
125,GP,M,15,3,4,father,1,1,0,1,0,0,1,1,1,0,5,5,5,3,2,5,0,13,13,12,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
126,GP,F,15,3,4,mother,1,2,0,1,0,1,1,1,1,1,5,3,2,1,1,1,0,7,10,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
127,GP,F,19,0,1,other,1,2,3,0,1,0,0,0,0,0,3,4,2,1,1,5,2,7,8,9,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
128,GP,M,18,2,2,mother,1,1,2,0,1,1,1,1,1,0,3,3,3,1,2,4,0,7,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
